region_id,year,pressure_score,rgn_name
1,2000,0.0012865684273824804,Offshore
2,2000,0.0598112037724699,Georges Bank
3,2000,0.045370714386547016,Gulf of Maine
4,2000,0.05210189645455968,Mid-Atlantic Bight
5,2000,0.08298284980392676,Connecticut
6,2000,0.09168312510386398,Maine
7,2000,0.09097397278181947,Massachusetts-North
8,2000,0.07457212633832108,Massachusetts-South
9,2000,0.11513641059672067,New Hampshire
10,2000,0.08335485367736133,New York
11,2000,0.08297164196594757,Rhode Island
1,2001,0.0013848888195982711,Offshore
2,2001,0.07041009634805673,Georges Bank
3,2001,0.04310596000507116,Gulf of Maine
4,2001,0.08466516504379243,Mid-Atlantic Bight
5,2001,0.0813147726950292,Connecticut
6,2001,0.0943227336074579,Maine
7,2001,0.09953883930737421,Massachusetts-North
8,2001,0.08983741526663053,Massachusetts-South
9,2001,0.08593062940267247,New Hampshire
10,2001,0.08236891806937797,New York
11,2001,0.09062062239522634,Rhode Island
1,2002,0.001155947549460963,Offshore
2,2002,0.05281644927272709,Georges Bank
3,2002,0.050909410597079194,Gulf of Maine
4,2002,0.07707960792401325,Mid-Atlantic Bight
5,2002,0.044391232316585115,Connecticut
6,2002,0.11801500324539412,Maine
7,2002,0.17544240784886922,Massachusetts-North
8,2002,0.14779157400638032,Massachusetts-South
9,2002,0.056744787636973444,New Hampshire
10,2002,0.06690530489740763,New York
11,2002,0.06973806121375165,Rhode Island
1,2003,0.0018689532080824354,Offshore
2,2003,0.07580765529012058,Georges Bank
3,2003,0.05105957061096356,Gulf of Maine
4,2003,0.08432002240872345,Mid-Atlantic Bight
5,2003,0.07483401768681962,Connecticut
6,2003,0.06926852949719797,Maine
7,2003,0.11741659574717599,Massachusetts-North
8,2003,0.11258076944455066,Massachusetts-South
9,2003,0.09312278338186784,New Hampshire
10,2003,0.08011919473097036,New York
11,2003,0.07938010016195811,Rhode Island
1,2004,0.0011317505887375088,Offshore
2,2004,0.08775803010413426,Georges Bank
3,2004,0.05213994917637612,Gulf of Maine
4,2004,0.05955292075983402,Mid-Atlantic Bight
5,2004,0.06227232332480705,Connecticut
6,2004,0.10395878751832058,Maine
7,2004,0.09332432196986157,Massachusetts-North
8,2004,0.0737099629293913,Massachusetts-South
9,2004,0.11038884899895125,New Hampshire
10,2004,0.06447523838110952,New York
11,2004,0.05418854202383722,Rhode Island
1,2005,5.295292792062236e-4,Offshore
2,2005,0.0526338476359457,Georges Bank
3,2005,0.03375832912310565,Gulf of Maine
4,2005,0.05739892250350055,Mid-Atlantic Bight
5,2005,0.06095256891927812,Connecticut
6,2005,0.07220528758081499,Maine
7,2005,0.05522363386400007,Massachusetts-North
8,2005,0.05955640067702987,Massachusetts-South
9,2005,0.05699605898025933,New Hampshire
10,2005,0.05625565451694177,New York
11,2005,0.05496596398314831,Rhode Island
1,2006,0.0018134724806718498,Offshore
2,2006,0.07464089478376325,Georges Bank
3,2006,0.03276541162909444,Gulf of Maine
4,2006,0.07402956968193414,Mid-Atlantic Bight
5,2006,0.09757557203088767,Connecticut
6,2006,0.09669758270455237,Maine
7,2006,0.054318516088230975,Massachusetts-North
8,2006,0.06361263407052065,Massachusetts-South
9,2006,0.035909661818124834,New Hampshire
10,2006,0.09232412867544686,New York
11,2006,0.03327433442817247,Rhode Island
1,2007,0.0017823509173841615,Offshore
2,2007,0.047400798934419223,Georges Bank
3,2007,0.038083186514547646,Gulf of Maine
4,2007,0.08534124377713591,Mid-Atlantic Bight
5,2007,0.05102759436154225,Connecticut
6,2007,0.08682446873272251,Maine
7,2007,0.04582230639953023,Massachusetts-North
8,2007,0.055015763077822216,Massachusetts-South
9,2007,0.1441632730356597,New Hampshire
10,2007,0.04120908735872381,New York
11,2007,0.0310625859527854,Rhode Island
1,2008,9.015609534691919e-4,Offshore
2,2008,0.11581606811797673,Georges Bank
3,2008,0.034316862065564516,Gulf of Maine
4,2008,0.045738602039600784,Mid-Atlantic Bight
5,2008,0.04503908974003643,Connecticut
6,2008,0.04874052523006037,Maine
7,2008,0.0786126702260361,Massachusetts-North
8,2008,0.04970325774080179,Massachusetts-South
9,2008,0.11207081182697497,New Hampshire
10,2008,0.04147787937231811,New York
11,2008,0.0424561502696765,Rhode Island
1,2009,8.424802522153275e-4,Offshore
2,2009,0.03688921610128724,Georges Bank
3,2009,0.0573825667629006,Gulf of Maine
4,2009,0.06933851850849096,Mid-Atlantic Bight
5,2009,0.034194653498111516,Connecticut
6,2009,0.1924716162028733,Maine
7,2009,0.07229112973099089,Massachusetts-North
8,2009,0.033129406392477655,Massachusetts-South
9,2009,0.04831805710740592,New Hampshire
10,2009,0.04065391608930875,New York
11,2009,0.04404954310698482,Rhode Island
1,2010,0.003464097603830555,Offshore
2,2010,0.07964840397751773,Georges Bank
3,2010,0.07713268085014097,Gulf of Maine
4,2010,0.07011115683313313,Mid-Atlantic Bight
5,2010,0.09983910851087666,Connecticut
6,2010,0.09897830458859988,Maine
7,2010,0.10101753681595814,Massachusetts-North
8,2010,0.047672093224151356,Massachusetts-South
9,2010,0.07675457219465064,New Hampshire
10,2010,0.09087469205395107,New York
11,2010,0.1666006302432091,Rhode Island
1,2011,0.0011707633894980473,Offshore
2,2011,0.1257192897555898,Georges Bank
3,2011,0.04307321443542047,Gulf of Maine
4,2011,0.07143425596806902,Mid-Atlantic Bight
5,2011,0.09364469534915498,Connecticut
6,2011,0.05745235537830016,Maine
7,2011,0.09223180091319158,Massachusetts-North
8,2011,0.10969979430354222,Massachusetts-South
9,2011,0.10012470841954607,New Hampshire
10,2011,0.0867568693764798,New York
11,2011,0.13354733231753865,Rhode Island
1,2012,9.108440192462143e-4,Offshore
2,2012,0.07661690099507278,Georges Bank
3,2012,0.047550849864911995,Gulf of Maine
4,2012,0.10121165438229729,Mid-Atlantic Bight
5,2012,0.08181561184973699,Connecticut
6,2012,0.07268193734248041,Maine
7,2012,0.08958508333578764,Massachusetts-North
8,2012,0.11734112791408789,Massachusetts-South
9,2012,0.07650640487260775,New Hampshire
10,2012,0.13313239774543198,New York
11,2012,0.07370111690750399,Rhode Island
1,2013,0.0011214300702662105,Offshore
2,2013,0.05373736451489716,Georges Bank
3,2013,0.043243802120746175,Gulf of Maine
4,2013,0.07149270879246443,Mid-Atlantic Bight
5,2013,0.08958780659934668,Connecticut
6,2013,0.07384348147565552,Maine
7,2013,0.058981255016290174,Massachusetts-North
8,2013,0.03888584099002026,Massachusetts-South
9,2013,0.07550513821252443,New Hampshire
10,2013,0.06965167375869552,New York
11,2013,0.061473205737397986,Rhode Island
1,2014,0.0011760700677953151,Offshore
2,2014,0.03810314766040989,Georges Bank
3,2014,0.04257964887235872,Gulf of Maine
4,2014,0.032327081277038816,Mid-Atlantic Bight
5,2014,0.04647774364691707,Connecticut
6,2014,0.08210247750545646,Maine
7,2014,0.07043461950014855,Massachusetts-North
8,2014,0.03391861152341446,Massachusetts-South
9,2014,0.0685553092748747,New Hampshire
10,2014,0.056754994922120675,New York
11,2014,0.0630254266419595,Rhode Island
1,2015,0.0025607433180649007,Offshore
2,2015,0.06425619040185201,Georges Bank
3,2015,0.043763055546103914,Gulf of Maine
4,2015,0.05527416469602456,Mid-Atlantic Bight
5,2015,0.0490459011747866,Connecticut
6,2015,0.08344432458080694,Maine
7,2015,0.10999020125911188,Massachusetts-North
8,2015,0.0710055230349971,Massachusetts-South
9,2015,0.30190306163709096,New Hampshire
10,2015,0.057512064560952786,New York
11,2015,0.08656728204769232,Rhode Island
